,Fund_Ticker,Benchmark_Index,R_Squared,Beta,Alpha,Treynor_Ratio,Currency,Year_Trailing,Std_Dev,Return,Sharpe_Ratio,Sortino_Ratio
964,FEQTX,S&P 500 TR USD,91.2,0.9,0.49,21.32,USD,3,8.57,19.36,2.12,3.87
965,FEXPX,S&P 500 TR USD,95.88,0.98,-2.67,17.60,USD,3,9.01,17.23,1.81,3.33
966,VGRIX,S&P 500 TR USD,95.52,1.03,0.92,21.96,USD,3,9.54,22.69,2.2,4.22
967,ACINX,MSCI ACWI Ex USA NR USD,89.76,0.89,3.22,13.82,USD,3,11.95,12.31,1.03,1.66
968,FKBAX,Barclays US Agg Bond TR USD,78.34,1.06,1.51,4.41,USD,3,3.26,4.74,1.42,2.44
969,FIVFX,MSCI ACWI Ex USA NR USD,88.77,0.94,5.84,16.70,USD,3,12.79,15.81,1.21,2.02
970,OIGAX,MSCI ACWI Ex USA NR USD,86.46,0.92,3.02,13.40,USD,3,12.57,12.32,0.99,1.54
971,MDRFX,S&P 500 TR USD,81.51,1.16,-6.34,14.48,USD,3,11.64,16.89,1.4,2.42
972,OGIAX,Morningstar Moderate Target Risk,95.42,0.88,1.25,12.27,USD,3,5.74,10.84,1.82,3.38
973,AXEAX,MSCI ACWI Ex USA NR USD,79.95,0.97,3.63,13.79,USD,3,13.87,13.45,0.98,1.57
974,ORMDX,Barclays Municipal TR USD,72.19,1.89,-5.09,1.84,USD,3,8.5,3.53,0.44,0.64
975,PFIAX,Barclays US Agg Bond TR USD,6.37,0.37,4.19,14.34,USD,3,4.0,5.4,1.32,2.26
976,CMSAX,Morningstar Moderate Target Risk,23.99,0.16,-1.89,-1.10,USD,3,2.16,-0.12,-0.07,-0.1
977,UMLGX,S&P 500 TR USD,62.29,1.41,-6.85,15.01,USD,3,16.12,21.18,1.28,2.14
978,WOOPX,S&P 500 TR USD,88.74,1.12,0.04,21.01,USD,3,10.74,23.55,2.03,4.02
979,TRVLX,S&P 500 TR USD,93.02,1.05,1.15,22.22,USD,3,9.84,23.37,2.2,4.14
980,FSREX,MSCI ACWI NR USD,32.45,0.22,7.94,53.32,USD,3,4.0,11.59,2.76,5.99
981,RRNAX,Barclays US Agg Bond TR USD,81.7,1.71,-4.91,-0.01,USD,3,5.14,0.05,0.02,0.03
982,FKLAX,Barclays Municipal TR USD,95.67,1.14,-1.37,3.47,USD,3,4.46,4.02,0.89,1.39
983,ANCFX,S&P 500 TR USD,93.6,0.99,-1.28,19.29,USD,3,9.27,19.19,1.95,3.52
984,FXNCX,Barclays Municipal TR USD,91.68,1.15,-2.17,2.77,USD,3,4.61,3.25,0.7,1.06
