,Fund_Ticker,Status,TTM_Yield_in_percent,PortfolioMktValue_in_millions,TotalAssets_in_millions,ExpenseRatio_in_percent,Net Expense Ratio %,Gross Expense Ratio %,Turnover_in_percent,Yield_in_percent,Status,FeeLevel,Fund_Manager,Manager_Start_Date,Fund_Inception,MorningstarCategory,InvestmentStyle,FeeLevel,Load,Max Front Load %,Max Back Load %,Return
52,VMATX,Open,3.17,16800.0,1100.0,0.16,0.16,0.16,36,2.16,Open,Low,Marlin G. Brown,2008-03-28 00:00:00,12/09/1998,Muni Massachusetts,High/Moderate,Low,None,,,4.7
53,VPGDX,Open,8.69,16800.0,1600.0,0.34,0.34,0.34,48,1.49,Open,Low,John Ameriks,2014-03-28 00:00:00,05/02/2008,Retirement Income,Large Blend,Low,None,,,4.85
54,VMNIX,Open,0.00,16800.0,282.1,0.15,0.18,1.50,68,0.00,Open,Low,James P. Stetler,2012-04-27 00:00:00,10/19/1998,Market Neutral,Mid Blend,Low,None,,,3.23
55,VMGRX,Open,0.02,16800.0,3500.0,0.51,0.51,0.51,83,0.16,Open,Low,John A. Heffern,2009-02-27 00:00:00,12/31/1997,Mid-Cap Growth,Mid Growth,Low,None,,,10.34
56,VMCIX,Open,1.04,16800.0,58100.0,0.08,0.08,0.08,32,1.30,Open,Low,Donald M. Butler,1998-05-21 00:00:00,05/21/1998,Mid-Cap Blend,Mid Growth,Low,None,,,10.01
57,VMRGX,Open,0.58,16800.0,11400.0,0.40,0.39,0.39,52,0.65,Open,Low,Blair A. Boyer,2014-01-28 00:00:00,12/31/1968,Large Growth,Large Growth,Low,None,,,10.27
58,VNJTX,Open,3.52,16800.0,2000.0,0.20,0.20,0.20,35,2.47,Open,Low,Mathew M. Kiselak,2013-06-28 00:00:00,02/03/1988,Muni New Jersey,Mid/Moderate,Low,None,,,6.15
59,VNYTX,Open,3.43,16800.0,3600.0,0.20,0.20,0.20,23,2.11,Open,Low,Mathew M. Kiselak,2013-06-28 00:00:00,04/07/1986,Muni New York Long,Mid/Moderate,Low,None,,,5.96
60,VOHIX,Open,3.50,16800.0,965.1,0.16,0.16,0.16,28,2.33,Open,Low,Marlin G. Brown,2008-03-28 00:00:00,06/18/1990,Muni Ohio,Mid/Moderate,Low,None,,,6.11
61,VPAIX,Open,3.65,16800.0,3100.0,0.20,0.20,0.20,17,2.29,Open,Low,James M. D'Arcy,2011-11-01 00:00:00,04/07/1986,Muni Pennsylvania,Mid/Moderate,Low,None,,,6.16
62,VPACX,Open,2.72,16800.0,5500.0,0.26,0.26,0.26,22,--,Open,Low,Michael H. Buek,1997-12-31 00:00:00,06/18/1990,Diversified Pacific/Asia,Large Blend,Low,None,,,2.17
63,VGPMX,Open,0.00,16800.0,2000.0,0.25,0.25,0.25,34,--,Open,Low,Jamie J. Horvat,2014-02-07 00:00:00,05/23/1984,Equity Precious Metals,Mid Blend,Low,None,,,4.68
64,VPCCX,Closed,0.74,16800.0,7300.0,0.50,0.50,0.50,13,1.06,Closed,Low,M. Mohsin Ansari,2007-12-31 00:00:00,12/09/2004,Large Growth,Large Growth,Low,None,,,10.22
65,VPMCX,Closed,0.73,16800.0,46700.0,0.44,0.45,0.45,11,1.07,Closed,Low,M. Mohsin Ansari,2007-12-31 00:00:00,11/01/1984,Large Growth,Large Growth,Low,None,,,13.78
66,VGSIX,Open,3.01,16800.0,49600.0,0.24,0.24,0.24,11,--,Open,Low,Gerard C. O'Reilly,1996-05-13 00:00:00,05/13/1996,Real Estate,Mid Blend,Low,None,,,10.59
67,VASVX,Open,1.06,16800.0,10300.0,0.43,0.44,0.44,27,1.50,Open,Low,Manoj Tandon,2014-03-31 00:00:00,02/15/1996,Mid-Cap Value,Mid Value,Low,None,,,9.27
68,VBISX,Open,1.09,16800.0,38200.0,0.20,0.20,0.20,50,0.86,Open,Low,Yan Pu,2013-02-22 00:00:00,03/01/1994,Short-Term Bond,High/Limited,Low,None,,,4.55
69,VSTBX,Open,1.83,16800.0,10700.0,0.09,0.09,0.09,56,1.62,Open,Low,Paul M. Malloy,2013-02-22 00:00:00,11/19/2009,Short-Term Bond,Mid/Limited,Low,None,,,3.56
70,VSGBX,Open,0.59,16800.0,5200.0,0.20,0.20,0.20,418,0.54,Open,Low,Ronald M. Reardon,2005-01-02 00:00:00,12/31/1987,Short Government,Mid/Limited,Low,None,,,5.31
71,VFSTX,Open,1.89,16800.0,53200.0,0.20,0.20,0.20,122,1.65,Open,Low,Gregory S. Nassour,2008-05-30 00:00:00,10/29/1982,Short-Term Bond,Mid/Limited,Low,None,,,6.48
72,VFISX,Open,0.48,16800.0,7000.0,0.20,0.20,0.20,80,0.45,Open,Low,David R. Glocke,2000-05-31 00:00:00,10/28/1991,Short Government,High/Limited,Low,None,,,4.46
73,VWSTX,Open,0.72,16800.0,12800.0,0.20,0.20,0.20,30,0.31,Open,Low,Pamela Wisehaupt Tynan,1996-12-31 00:00:00,09/01/1977,Muni National Short,High/Limited,Low,None,,,4.17
74,VISGX,Open,0.47,16800.0,15300.0,0.24,0.24,0.24,50,0.69,Open,Low,Gerard C. O'Reilly,2004-12-30 00:00:00,05/21/1998,Small Growth,Small Growth,Low,None,,,8.42
75,NAESX,Open,1.10,16800.0,49700.0,0.24,0.24,0.24,29,1.24,Open,Low,Michael H. Buek,1991-12-30 00:00:00,10/03/1960,Small Blend,Small Blend,Low,None,,,10.72
76,VISVX,Open,1.58,16800.0,14400.0,0.24,0.24,0.24,47,1.70,Open,Low,Michael H. Buek,1998-05-21 00:00:00,05/21/1998,Small Value,Small Value,Low,None,,,8.43
77,VGSTX,Open,1.83,16800.0,19000.0,0.34,0.34,0.34,9,1.84,Open,Low,Walter Nejman,2013-02-28 00:00:00,03/29/1985,Moderate Allocation,Large Blend,Low,None,,,9.77
78,VSEQX,Open,1.06,16800.0,5700.0,0.27,0.29,0.29,60,1.08,Open,Low,James P. Stetler,2012-01-26 00:00:00,08/14/1995,Mid-Cap Blend,Mid Blend,Low,None,,,10.92
79,VSTCX,Open,0.70,16800.0,615.1,0.38,0.41,0.41,64,0.88,Open,Low,James D. Troyer,2012-01-26 00:00:00,04/24/2006,Small Blend,Small Blend,Low,None,,,6.58
80,VSLPX,Open,1.48,16800.0,552.9,0.17,0.17,0.17,68,1.82,Open,Low,James P. Stetler,2012-01-26 00:00:00,05/15/2006,Large Blend,Large Value,Low,None,,,7.65
81,VSBPX,Open,1.44,16800.0,570.5,0.17,0.18,0.18,60,1.60,Open,Low,James D. Troyer,2012-01-26 00:00:00,05/03/2004,Large Blend,Large Blend,Low,None,,,8.5
82,VTENX,Open,1.53,16800.0,7200.0,0.16,0.16,0.16,13,1.83,Open,Low,Walter Nejman,2013-02-22 00:00:00,06/07/2006,Target Date 2000-2010,Large Blend,Low,None,,,5.96
83,VTXVX,Open,1.64,16800.0,22300.0,0.16,0.16,0.16,10,1.96,Open,Low,Walter Nejman,2013-02-22 00:00:00,10/27/2003,Target Date 2011-2015,Large Blend,Low,None,,,6.52
84,VTWNX,Open,1.66,16800.0,28800.0,0.16,0.16,0.16,7,2.11,Open,Low,Walter Nejman,2013-02-22 00:00:00,06/07/2006,Target Date 2016-2020,Large Blend,Low,None,,,6.43
85,VTTVX,Open,1.69,16800.0,32800.0,0.17,0.17,0.17,7,2.10,Open,Low,Walter Nejman,2013-02-22 00:00:00,10/27/2003,Target Date 2021-2025,Large Blend,Low,None,,,6.91
86,VTHRX,Open,1.64,16800.0,24300.0,0.17,0.17,0.17,7,2.10,Open,Low,Walter Nejman,2013-02-22 00:00:00,06/07/2006,Target Date 2026-2030,Large Blend,Low,None,,,6.53
87,VTTHX,Open,1.76,16800.0,25000.0,0.18,0.18,0.18,6,2.09,Open,Low,Walter Nejman,2013-02-22 00:00:00,10/27/2003,Target Date 2031-2035,Large Blend,Low,None,,,7.5
88,VFORX,Open,1.63,16800.0,16800.0,0.18,0.18,0.18,6,2.10,Open,Low,Walter Nejman,2013-02-22 00:00:00,06/07/2006,Target Date 2036-2040,Large Blend,Low,None,,,6.79
89,VTIVX,Open,1.74,16800.0,15300.0,0.18,0.18,0.18,7,2.09,Open,Low,Walter Nejman,2013-02-22 00:00:00,10/27/2003,Target Date 2041-2045,Large Blend,Low,None,,,7.93
90,VFIFX,Open,1.70,16800.0,7900.0,0.18,0.18,0.18,7,2.10,Open,Low,Walter Nejman,2013-02-22 00:00:00,06/07/2006,Target Date 2046-2050,Large Blend,Low,None,,,6.85
