"Holdings","Weighting","Type","Ticker","Style","First Bought","Shares Owned","Shares Change","Sector","Price","Day Change","Day high/low","Volume","52-Wk high/low","Country","3-Month Return","1-Year Return","3-Year Return","5-Year Return","Market Cap Mil","Currency","Morningstar Rating","YTD Return","P/E","Maturity Date","Coupon %","Yield to Maturity"
"Citigroup FRN","0.85","BOND - CORPORATE BOND","-","-","-","10600000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2016-06-09","0.5","-"
"Abbvie FRN","0.82","BOND - CORPORATE BOND","-","-","-","10000000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2015-11-06","0.98","-"
"FHLMC 4.5%","0.79","BOND - GOV'T AGENCY PASS-THRU","-","-","-","9000000","9000000","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2035-07-15","4.5","-"
"Petrobras Glbl Fin B V 2%","0.73","BOND - CORPORATE BOND","-","-","-","9000000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2016-05-20","2","-"
"FNMA 4.5%","0.73","BOND - GOV'T AGENCY PASS-THRU","-","-","-","8252019","-343858","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2041-10-01","4.5","-"
"Johnson & Johnson FRN","0.72","BOND - CORPORATE BOND","-","-","-","8900000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2016-11-28","0.3","-"
"Wells Fargo & Co, San Francisco Ca Pfd","0.64","CONVERTIBLE PREFERRED","-","-","-","6450","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","-","7.5","-"
"Mckesson Corp New FRN","0.57","BOND - CORPORATE BOND","-","-","-","7000000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2015-09-10","0.63","-"
"US Treasury TIP","0.54","BOND - GOV'T INFLATION PROTECTED","-","-","-","6597120","87872","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2022-07-15","0.12","-"
"Lb Cmbs 2007-C3 CMO","0.49","BOND - COMMERCIAL MBS","-","-","-","5430956","-338044","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2044-07-15","6.09","-"
"Citigroup FRN","0.48","BOND - CORPORATE BOND","-","-","-","5900000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2016-11-15","0.9","-"
"Bk Tokyo-Mitsubishi Ltd N Y 144A FRN","0.47","BOND - CORPORATE BOND","-","-","-","5800000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2017-03-10","0.64","-"
"Rabobank Nederland Ny FRN","0.47","BOND - CORPORATE BOND","-","-","-","5800000","5800000","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2016-11-23","0.51","-"
"FNMA","0.45","BOND - GOV'T AGENCY PASS-THRU","-","-","-","5000000","5000000","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2044-07-14","5.5","-"
"US Treasury TIP 2.5%","0.44","BOND - GOV'T INFLATION PROTECTED","-","-","-","4305912","57369","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2029-01-15","2.5","-"
"Cit Grp 4.25%","0.44","BOND - CORPORATE BOND","-","-","-","5200000","5200000","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2017-08-15","4.25","-"
"Sprint Nextel 6%","0.44","BOND - CORPORATE BOND","-","-","-","4975000","4275000","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2016-12-01","6","-"
"US Treasury TIP 0.125%","0.44","BOND - GOV'T INFLATION PROTECTED","-","-","-","5341332","71145","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2022-01-15","0.12","-"
"New York Liberty Dev Corp Libe Lib 5.75%","0.43","MUNI BOND - REVENUE","-","-","-","4800000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2051-11-15","5.75","-"
"Verizon Comms FRN","0.43","BOND - CORPORATE BOND","-","-","-","5200000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2016-09-15","1.76","-"
"Brazil La Sp Hus","0.43","CREDIT DEFAULT SWAP","-","-","-","5300000","5300000","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2016-06-20","1","-"
"Echostar Dbs 7.125%","0.42","BOND - CORPORATE BOND","-","-","-","4800000","4800000","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2016-02-01","7.12","-"
"Cwalt Inc Alt Ln Tr 2006-Hy11 CMO","0.42","BOND - NON-AGENCY RESIDENTIAL MBS","-","-","-","6012190","-110963","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2036-06-25","5.12","-"
"Jp Morgan Chase 2007-Ldp10 CMO 5.439%","0.41","BOND - NON-AGENCY RESIDENTIAL MBS","-","-","-","4590234","-6863","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2049-01-15","5.44","-"
